ID,角色名稱,Kingdom
143080583,叮叮蛋,1034
157894566,派大星公爵的農奴,1000
165310181,silkysmooth,1000
198461128,小默默,1034
197136827,求通過@@,1000
170148051,FiFi,1000
143621739,Sophie蘇菲,1034
143998435,Miaoshuang,1034
146734784,BoyLechon,1000
145456138,SSE,1034
146553933,ABai雷,1034
143998820,一隻貓A cat,1034
143572011,Chamuel,1034
144866643,Ellie愛唱歌,1034
145178451,～有夠無聊～,1034
146292258,企鵝妹妹代玩中,1034
143916799,Curry咖哩,1034
144947913,派大星Patrickᵀᵂᴺ,1034
145587335,墨·默默 Morr,1034
148557325,Asteria,1000
114178818,SSD,
143195298,尽情的打我,1000
143015237,猫JJ,1034
203037623,BarryQQ,1034
207801779,企鵝哥哥旅行中,1034
146291934,Anshirana8456&,1000
146472552,Power 炮,1034
145111955,Dylan,1000
223130417,Stitch,1000
144047482,勻小妹愛唱歌,1000
144534868,༺༒南無觀世ᴵᴺᴾᵁᵀ薩༒༻,1034
137126118,Ling,1034
138457778,ʚ 立华奏 ɞ,1034
135148982,代替月亮懲罰你,1034
142769014,Vincent文森,1034
141627495,༺༒OMG༒༻,1034
245293527,HsinHsin,1034
142753783,冷氣職人,1034
195112986,GBai雷,1034
190263560,冷氣學徒,1000
249200699,炸彈超人,1034
253842612,A blt bored,1034
251468245,Baby小猫仔,1034
142448359,ฅʕ·ᴥ·ʔฅ～Astrid,1034
318657433,ターボばあちゃん,1000
195050932,Jophiel,1034
128085746,༺ཌ棠太宗࿙ᵀ༒ᵂ࿚Tangད༻,1034
126791969,東海貝,1034
327447217,ʚ壹號機ɞ,1000
328479408,ʚ貳號機ɞ,1000
330592947,Crusader,1000
329740978,ʚ肆號機ɞ,1000
327578288,ʚ伍號機ɞ,1000
138499812,杨_Khianz,1034
142415427,Killualdi,1034
142513870,Lannn,1034
149340598,先讓我戒酒10分鐘ᵀᵂᴺ,1034
142038648,飄飄飄,1034
154584747,飛翔遨遊,1034
306825354,外婆的澎湖灣,1034
151340449,༺༒神大叔༒༻,1034
101960710,༺ཌༀൢ棠ᵀ༒ᵂTangༀད༻,1034
339948686,༻伍號機༒五ʳᵒᵃᵈ財神༺,1034
340571275,༻肆號機༒Food正神༺,1034
342799503,༻參號機༒張ᶠᵃᵗ༺,1034
341669002,༻貳號機༒關ʸᵒᵘ༺,1034
343127183,༻壹號機༒劉ᴮᵉᵃʳ༺,1034
335810529,lord335810529,
335819529,babyABai,1034
353002749,Aria,
270613057,上帝耶和ᵂᴴᴬᵀ耶穌基ᴰᴼ,1034
338667826,小沙彌,1034
146337444,Flora,1034
166966467,,1034
146569768,,1034
349603449,,1034
349627967,,1034
352298557,,1034
351364479,,1034
352249210,,1034
349364160,,1034
145374448,Momo,1034
159302027,Monica,1034
